"Chr","Start","End","Conc","Conc_liver","Conc_colon","Fold","p-value","FDR"
"chr10",87281120,87281337,-1.39,-1.36,-1.42,0.06,0.862,1
"chr11",21148992,21149195,-1.39,-1.36,-1.42,0.06,0.862,1
"chr11",33441249,33441604,-1.39,-1.36,-1.42,0.06,0.862,1
"chr11",84871352,84871720,-1.39,-1.36,-1.42,0.06,0.862,1
"chr11",122152759,122153095,-1.39,-1.36,-1.42,0.06,0.862,1
"chr11",123290253,123290598,-1.39,-1.36,-1.42,0.06,0.862,1
"chr12",26362728,26362936,-1.39,-1.36,-1.42,0.06,0.862,1
"chr12",54033176,54033441,-1.39,-1.36,-1.42,0.06,0.862,1
"chr13",49849720,49850081,-1.39,-1.36,-1.42,0.06,0.862,1
"chr13",98947138,98947519,-1.39,-1.36,-1.42,0.06,0.862,1
"chr14",25701632,25701989,-1.39,-1.36,-1.42,0.06,0.862,1
"chr14",29084237,29084612,-1.39,-1.36,-1.42,0.06,0.862,1
"chr14",55262536,55262755,-1.39,-1.36,-1.42,0.06,0.862,1
"chr14",57364347,57364683,-1.39,-1.36,-1.42,0.06,0.862,1
"chr14",76197575,76197914,-1.39,-1.36,-1.42,0.06,0.862,1
"chr15",61795088,61795435,-1.39,-1.36,-1.42,0.06,0.862,1
"chr15",69970618,69971008,-1.39,-1.36,-1.42,0.06,0.862,1
"chr15",80674630,80674988,-1.39,-1.36,-1.42,0.06,0.862,1
"chr15",98150055,98150399,-1.39,-1.36,-1.42,0.06,0.862,1
"chr16",27909846,27910065,-1.39,-1.36,-1.42,0.06,0.862,1
"chr16",54613296,54613613,-1.39,-1.36,-1.42,0.06,0.862,1
"chr16",78920811,78921564,-1.39,-1.36,-1.42,0.06,0.862,1
"chr17",11029916,11030326,-1.39,-1.36,-1.42,0.06,0.862,1
"chr17",43442990,43443294,-1.39,-1.36,-1.42,0.06,0.862,1
"chr18",19709954,19710361,-1.39,-1.36,-1.42,0.06,0.862,1
"chr18",23202532,23202895,-1.39,-1.36,-1.42,0.06,0.862,1
"chr18",47648847,47649200,-1.39,-1.36,-1.42,0.06,0.862,1
"chr18",49258822,49259189,-1.39,-1.36,-1.42,0.06,0.862,1
"chr18",52873837,52874192,-1.39,-1.36,-1.42,0.06,0.862,1
"chr18",62619200,62619565,-1.39,-1.36,-1.42,0.06,0.862,1
"chr18",68334419,68334653,-1.39,-1.36,-1.42,0.06,0.862,1
"chr19",12358171,12358519,-1.39,-1.36,-1.42,0.06,0.862,1
"chr19",13713772,13714141,-1.39,-1.36,-1.42,0.06,0.862,1
"chr19",52825513,52825878,-1.39,-1.36,-1.42,0.06,0.862,1
"chr2",43905717,43906069,-1.39,-1.36,-1.42,0.06,0.862,1
"chr2",52598853,52599206,-1.39,-1.36,-1.42,0.06,0.862,1
"chr2",52906784,52907107,-1.39,-1.36,-1.42,0.06,0.862,1
"chr2",56428070,56428410,-1.39,-1.36,-1.42,0.06,0.862,1
"chr2",83634592,83634944,-1.39,-1.36,-1.42,0.06,0.862,1
"chr2",86304787,86305122,-1.39,-1.36,-1.42,0.06,0.862,1
"chr2",112954653,112955038,-1.39,-1.36,-1.42,0.06,0.862,1
"chr2",114104878,114105215,-1.39,-1.36,-1.42,0.06,0.862,1
"chr2",129097978,129098830,-1.39,-1.36,-1.42,0.06,0.862,1
"chr2",181803703,181804058,-1.39,-1.36,-1.42,0.06,0.862,1
"chr2",198326199,198326490,-1.39,-1.36,-1.42,0.06,0.862,1
"chr2",203091956,203092226,-1.39,-1.36,-1.42,0.06,0.862,1
"chr2",208949513,208949872,-1.39,-1.36,-1.42,0.06,0.862,1
"chr2",218032065,218032414,-1.39,-1.36,-1.42,0.06,0.862,1
"chr2",232337499,232337885,-1.39,-1.36,-1.42,0.06,0.862,1
"chr20",3325081,3325440,-1.39,-1.36,-1.42,0.06,0.862,1
"chr20",5814143,5814496,-1.39,-1.36,-1.42,0.06,0.862,1
"chr20",24841468,24841675,-1.39,-1.36,-1.42,0.06,0.862,1
"chr22",37039375,37039702,-1.39,-1.36,-1.42,0.06,0.862,1
"chr22",38893324,38893684,-1.39,-1.36,-1.42,0.06,0.862,1
"chr4",26386418,26386643,-1.39,-1.36,-1.42,0.06,0.862,1
"chr4",69265279,69265552,-1.39,-1.36,-1.42,0.06,0.862,1
"chr4",73316536,73316885,-1.39,-1.36,-1.42,0.06,0.862,1
"chr4",103271153,103271510,-1.39,-1.36,-1.42,0.06,0.862,1
"chr4",125354222,125354595,-1.39,-1.36,-1.42,0.06,0.862,1
"chr4",180983232,180983595,-1.39,-1.36,-1.42,0.06,0.862,1
"chr5",21459197,21459877,-1.39,-1.36,-1.42,0.06,0.862,1
"chr5",25308993,25309344,-1.39,-1.36,-1.42,0.06,0.862,1
"chr5",62483443,62483802,-1.39,-1.36,-1.42,0.06,0.862,1
"chr5",85852153,85852519,-1.39,-1.36,-1.42,0.06,0.862,1
"chr5",100222066,100222422,-1.39,-1.36,-1.42,0.06,0.862,1
"chr5",176579170,176579524,-1.39,-1.36,-1.42,0.06,0.862,1
"chr6",97295248,97295603,-1.39,-1.36,-1.42,0.06,0.862,1
"chr7",66625356,66625714,-1.39,-1.36,-1.42,0.06,0.862,1
"chr7",72027458,72027799,-1.39,-1.36,-1.42,0.06,0.862,1
"chr7",89026440,89026766,-1.39,-1.36,-1.42,0.06,0.862,1
"chr7",90382430,90382781,-1.39,-1.36,-1.42,0.06,0.862,1
"chr8",12785390,12785601,-1.39,-1.36,-1.42,0.06,0.862,1
"chr8",54461503,54461862,-1.39,-1.36,-1.42,0.06,0.862,1
"chr8",67070233,67070584,-1.39,-1.36,-1.42,0.06,0.862,1
"chr8",117792636,117792839,-1.39,-1.36,-1.42,0.06,0.862,1
"chr9",5096288,5096637,-1.39,-1.36,-1.42,0.06,0.862,1
"chr9",7040203,7040566,-1.39,-1.36,-1.42,0.06,0.862,1
"chr9",28174746,28175107,-1.39,-1.36,-1.42,0.06,0.862,1
"chr9",70151187,70151569,-1.39,-1.36,-1.42,0.06,0.862,1
"chr9",79058213,79059060,-1.39,-1.36,-1.42,0.06,0.862,1
"chr9",87987884,87988242,-1.39,-1.36,-1.42,0.06,0.862,1
"chr9",98182272,98182611,-1.39,-1.36,-1.42,0.06,0.862,1
"chr9",100925862,100926206,-1.39,-1.36,-1.42,0.06,0.862,1
"chrX",15451616,15452449,-1.39,-1.36,-1.42,0.06,0.862,1
"chrX",54877735,54878090,-1.39,-1.36,-1.42,0.06,0.862,1
"chrX",133533536,133533885,-1.39,-1.36,-1.42,0.06,0.862,1
"chr2",1131767,1132074,0.17,0.12,0.22,-0.1,0.862,1
"chr6",125513211,125514762,2.54,2.67,2.39,0.28,0.862,1
"chr1",211589500,211590025,-0.82,-1.22,-0.52,-0.7,0.862,1
"chr10",106057552,106057933,0,-0.04,0.05,-0.09,0.862,1
"chr10",65065212,65065595,-1.13,-1.53,-0.82,-0.71,0.862,1
"chr12",15328103,15328470,-1.13,-1.53,-0.82,-0.71,0.862,1
"chr6",6932532,6933020,-1.13,-1.53,-0.82,-0.71,0.862,1
"chr1",24616566,24616866,0.2,0.19,0.21,-0.02,0.862,1
"chr14",61655662,61656123,0.43,0.42,0.44,-0.03,0.862,1
"chr5",74535593,74535902,0.2,0.26,0.14,0.13,0.862,1
"chr12",58282351,58282912,0.62,0.38,0.82,-0.44,0.863,1
"chr7",48008427,48009237,0.69,1.03,0.24,0.8,0.863,1
"chr1",29040626,29040878,-0.76,-0.36,-1.31,0.95,0.863,1
"chr17",960404,960937,-0.76,-0.36,-1.31,0.95,0.863,1
"chr12",75920675,75920978,-0.38,-0.55,-0.22,-0.33,0.863,1
"chr5",148977679,148978043,-0.21,-0.28,-0.15,-0.13,0.863,1
"chr18",61450260,61451091,0.84,1.12,0.5,0.62,0.863,1
"chr22",19971932,19972470,1.24,1.13,1.35,-0.23,0.863,1
"chr9",125572535,125573031,1.28,1.42,1.12,0.31,0.863,1
"chr19",14675113,14675503,0.95,0.87,1.02,-0.15,0.863,1
"chr3",140411214,140411567,-0.95,-1.36,-0.63,-0.73,0.863,1
"chr12",69257732,69258077,-0.12,-0.07,-0.16,0.1,0.863,1
"chr9",68394996,68395708,0.19,0.09,0.29,-0.2,0.863,1
"chr9",94298595,94298927,0.03,-0.19,0.22,-0.41,0.863,1
"chr9",18442646,18443114,1.41,1.65,1.12,0.54,0.863,1
"chr4",81911110,81911535,1.2,1.22,1.19,0.03,0.863,1
"chr11",76801927,76802642,1.71,1.8,1.61,0.19,0.863,1
"chr19",9165469,9166476,1.77,1.71,1.82,-0.11,0.863,1
"chrX",62412278,62412619,0.34,0.23,0.44,-0.21,0.863,1
"chr12",93708334,93709219,2.16,2.18,2.14,0.04,0.863,1
"chr5",81647661,81647881,0.02,-0.12,0.14,-0.27,0.863,1
"chr6",72113878,72114832,1.73,1.96,1.46,0.5,0.863,1
"chr4",113738962,113739577,2.14,2.26,2,0.26,0.863,1
"chr8",130047239,130047723,0.48,0.48,0.48,0,0.863,1
"chr1",58697992,58698353,-0.96,-1.36,-0.65,-0.71,0.863,1
"chr14",66165717,66166066,-0.96,-1.36,-0.65,-0.71,0.863,1
"chr6",159525073,159525558,2.07,2.12,2.01,0.11,0.863,1
"chr3",53408997,53409432,0.99,1,0.98,0.02,0.863,1
"chr9",133039834,133040397,-1.1,-1.53,-0.77,-0.76,0.863,1
"chr3",46923785,46925062,1.95,1.6,2.23,-0.63,0.863,1
"chr5",171042182,171042615,0.03,-0.11,0.15,-0.26,0.863,1
"chr2",145198592,145198932,-0.97,-0.8,-1.16,0.36,0.863,1
"chr4",34955000,34955357,0.91,0.86,0.96,-0.1,0.863,1
"chr18",3070586,3070907,-1.1,-1.53,-0.77,-0.76,0.863,1
"chr3",40836201,40836550,-1.1,-1.53,-0.77,-0.76,0.863,1
"chr10",2126445,2126864,-0.89,-0.7,-1.11,0.41,0.863,1
"chr19",5229571,5229909,0.34,0.22,0.46,-0.24,0.863,1
"chr1",236332241,236333321,0.92,1.24,0.5,0.73,0.863,1
"chr17",8093100,8093873,2.83,2.78,2.88,-0.1,0.863,1
"chr3",123043092,123043461,-0.34,-0.28,-0.39,0.11,0.863,1
"chr7",75114781,75115925,1.92,1.96,1.89,0.07,0.863,1
"chr17",37703970,37704503,0.67,0.83,0.49,0.34,0.863,1
"chr3",49893713,49894355,2.39,2.32,2.45,-0.13,0.863,1
"chr8",80875646,80876175,1.32,1.17,1.45,-0.27,0.863,1
"chr9",136398199,136398500,0.63,0.77,0.48,0.29,0.863,1
"chr5",31578389,31578838,0.75,0.36,1.05,-0.68,0.863,1
"chr12",65665099,65666153,-0.19,-0.3,-0.08,-0.22,0.863,1
"chr12",107608041,107608894,0.73,0.67,0.79,-0.11,0.863,1
"chr9",126889035,126889394,0.51,0.56,0.45,0.11,0.863,1
"chr20",47937003,47937416,0.4,0.55,0.24,0.31,0.863,1
"chr7",74049986,74050818,2.32,2.38,2.25,0.14,0.863,1
"chr7",14788026,14788437,0.31,0.53,0.04,0.5,0.863,1
"chr10",78392484,78392845,0.6,0.9,0.23,0.67,0.863,1
"chr11",123425498,123425961,0.41,0.52,0.3,0.22,0.863,1
"chr7",3246704,3247049,-0.94,-0.82,-1.06,0.24,0.863,1
"chr12",38008473,38009401,0.06,-0.07,0.18,-0.25,0.863,1
"chr20",37146226,37146630,-0.37,0.01,-0.88,0.89,0.863,1
"chr17",50055574,50055923,-0.88,-1.03,-0.75,-0.27,0.863,1
"chr4",116360526,116360881,-0.88,-1.03,-0.75,-0.27,0.863,1
"chrX",45617656,45618068,1.38,1.35,1.41,-0.05,0.863,1
"chrX",3430189,3430627,0.03,0.23,-0.21,0.44,0.863,1
"chr1",205538183,205538417,0.28,0.25,0.31,-0.06,0.863,1
"chr18",24229660,24230035,0.68,0.74,0.62,0.11,0.863,1
"chr14",103273876,103274479,1.66,1.73,1.59,0.13,0.863,1
"chr3",40732204,40733092,0.25,0.15,0.34,-0.2,0.863,1
"chrX",101054329,101054792,1.42,1.63,1.17,0.46,0.863,1
"chr7",119112503,119112924,0.42,0.66,0.15,0.51,0.863,1
"chr14",59423128,59423491,-0.72,-0.47,-1.03,0.55,0.863,1
"chr12",34430786,34431013,-0.95,-1.18,-0.75,-0.43,0.863,1
"chr19",51001974,51002991,-0.95,-1.18,-0.75,-0.43,0.863,1
"chr18",7950654,7951108,1.58,1.73,1.4,0.33,0.863,1
"chr14",50506514,50507560,1.87,1.86,1.88,-0.02,0.863,1
"chr10",6961881,6962440,1.89,1.94,1.84,0.1,0.863,1
"chr12",12509726,12510595,2.99,3.06,2.92,0.14,0.863,1
"chr4",190767215,190768288,1.54,1.58,1.5,0.07,0.863,1
"chr11",112150670,112152212,2.55,2.7,2.37,0.33,0.863,1
"chr3",136344003,136344585,1.33,1.22,1.44,-0.22,0.863,1
"chrX",69482816,69483181,0.36,0.53,0.17,0.35,0.863,1
"chr2",23893634,23894011,-0.29,-0.77,0.07,-0.84,0.863,1
"chr2",241832897,241833297,1.22,1.36,1.07,0.29,0.863,1
"chr7",38457896,38458806,-0.38,-0.1,-0.73,0.63,0.863,1
"chr1",63216840,63217193,-1.38,-1.36,-1.39,0.03,0.863,1
"chr1",104010432,104010787,-1.38,-1.36,-1.39,0.03,0.863,1
"chr1",109258791,109259144,-1.38,-1.36,-1.39,0.03,0.863,1
"chr1",206173398,206173989,-1.38,-1.36,-1.39,0.03,0.863,1
"chr10",14416693,14417037,-1.38,-1.36,-1.39,0.03,0.863,1
"chr10",79908587,79908790,-1.38,-1.36,-1.39,0.03,0.863,1
"chr13",60712756,60713119,-1.38,-1.36,-1.39,0.03,0.863,1
"chr15",41437992,41438347,-1.38,-1.36,-1.39,0.03,0.863,1
"chr15",81942625,81942984,-1.38,-1.36,-1.39,0.03,0.863,1
"chr15",85212551,85212782,-1.38,-1.36,-1.39,0.03,0.863,1
"chr16",56055413,56055770,-1.38,-1.36,-1.39,0.03,0.863,1
"chr16",84891586,84891939,-1.38,-1.36,-1.39,0.03,0.863,1
"chr18",49038718,49038957,-1.38,-1.36,-1.39,0.03,0.863,1
"chr18",74458355,74458712,-1.38,-1.36,-1.39,0.03,0.863,1
"chr2",12812113,12812468,-1.38,-1.36,-1.39,0.03,0.863,1
"chr2",153300333,153300536,-1.38,-1.36,-1.39,0.03,0.863,1
"chr20",26305595,26305932,-1.38,-1.36,-1.39,0.03,0.863,1
"chr22",23827715,23828071,-1.38,-1.36,-1.39,0.03,0.863,1
"chr3",102786922,102787139,-1.38,-1.36,-1.39,0.03,0.863,1
"chr3",141197625,141198016,-1.38,-1.36,-1.39,0.03,0.863,1
"chr4",108647351,108647703,-1.38,-1.36,-1.39,0.03,0.863,1
"chr4",118979596,118979959,-1.38,-1.36,-1.39,0.03,0.863,1
"chr4",148411140,148411489,-1.38,-1.36,-1.39,0.03,0.863,1
"chr5",23197251,23197608,-1.38,-1.36,-1.39,0.03,0.863,1
"chr5",81596767,81597122,-1.38,-1.36,-1.39,0.03,0.863,1
"chr6",10214343,10214703,-1.38,-1.36,-1.39,0.03,0.863,1
"chr6",154209992,154210333,-1.38,-1.36,-1.39,0.03,0.863,1
"chr6",162003857,162004208,-1.38,-1.36,-1.39,0.03,0.863,1
"chr7",25809199,25809474,-1.38,-1.36,-1.39,0.03,0.863,1
"chr7",30806891,30807250,-1.38,-1.36,-1.39,0.03,0.863,1
"chr7",43424673,43424905,-1.38,-1.36,-1.39,0.03,0.863,1
"chr8",4199573,4199928,-1.38,-1.36,-1.39,0.03,0.863,1
"chr8",25268314,25268657,-1.38,-1.36,-1.39,0.03,0.863,1
"chr8",32748386,32748751,-1.38,-1.36,-1.39,0.03,0.863,1
"chrX",102879474,102879829,-1.38,-1.36,-1.39,0.03,0.863,1
"chr2",20578739,20579263,1.58,1.74,1.4,0.34,0.863,1
"chr7",99013151,99013464,-0.14,0.09,-0.41,0.5,0.863,1
"chr15",95120188,95120526,0.49,0.64,0.33,0.3,0.863,1
"chr11",82412926,82413332,0.34,0.31,0.37,-0.05,0.863,1
"chr1",37920394,37920975,1.41,1.52,1.3,0.22,0.863,1
"chr19",2069743,2070076,0.52,0.74,0.25,0.49,0.863,1
"chr5",58935626,58935833,-0.9,-0.68,-1.18,0.5,0.863,1
"chr2",7331952,7332500,0.55,0.54,0.57,-0.03,0.863,1
"chr15",40722575,40722870,0.43,0.41,0.44,-0.03,0.863,1
"chr7",106289955,106290343,-0.99,-0.8,-1.21,0.41,0.863,1
"chr1",12518623,12518925,-0.79,-0.58,-1.03,0.44,0.863,1
"chr1",28794,30021,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",441956,442434,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",545396,546156,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",2053186,2053524,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",2633378,2634163,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",2685483,2686274,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",4393112,4393506,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",8103010,8103359,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",8664632,8664864,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",12849437,12849713,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",12975234,12975468,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",12996162,12996521,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",13106390,13106854,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",13370684,13371066,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",14461319,14461666,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",16884119,16884500,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",16983004,16983847,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",16992569,16993955,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",17066468,17067788,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",17529404,17529765,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",18224033,18224277,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",18685793,18686087,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",30838451,30838686,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",31705272,31705476,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",32612734,32612937,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",34789343,34789605,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",40464546,40464903,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",40666397,40666760,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",43166481,43166710,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",44283273,44283614,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",48848613,48848922,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",50846532,50846754,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",52310451,52310672,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",54884901,54885250,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",55925505,55925707,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",57198070,57198284,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",58844338,58844727,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",59742802,59743165,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",61662411,61662762,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",62560080,62560429,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",62602179,62602530,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",70074347,70074690,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",73709645,73709993,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",75458538,75458889,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",76792958,76793162,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",78768329,78768682,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",79398858,79399204,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",79505749,79506093,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",79939394,79939757,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",81199309,81199663,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",84699909,84700439,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",85234336,85234732,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",86798537,86798888,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",87067495,87067848,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",87089381,87089737,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",94903693,94904042,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",95173817,95174029,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",95932239,95932462,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",96082191,96082550,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",98668098,98668457,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",100118210,100118434,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",100148444,100148815,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",100992402,100992745,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",102672939,102673289,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",103410642,103410853,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",103661421,103661729,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",103814414,103814784,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",103954142,103954519,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",104163609,104163990,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",104980452,104980831,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",105798774,105799129,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",106119609,106120617,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",106353240,106353571,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",106544724,106545067,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",108709725,108710102,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",108995432,108995775,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",109168243,109168587,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",109535126,109535337,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",111119285,111119492,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",114509552,114509897,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",117669472,117669804,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",118894941,118895279,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",119394468,119394695,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",120543764,120544202,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",120593505,120593894,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",120874184,120874743,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",121359905,121360223,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",121373164,121373943,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",121458660,121459018,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",121462399,121462749,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",121467991,121468361,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",143344795,143345358,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",143646227,143647554,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",143656090,143656521,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",143673237,143673684,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",143686831,143687507,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",143943473,143943926,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",144030830,144031200,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",144174287,144174630,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",144202888,144203239,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",144221970,144222460,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",144707467,144707970,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",144811470,144811946,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",145342834,145343175,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",145347695,145347907,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",145900880,145901243,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",145968510,145969842,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",146034450,146034810,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",146057244,146057659,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",146081722,146082992,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",146215354,146215709,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",146217098,146217349,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",146244518,146244846,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",146454319,146454676,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",146465485,146465837,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",147510241,147511597,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",147576228,147576588,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",147833650,147835195,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",147843632,147844616,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",147860780,147861192,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",147874376,147874987,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",148006538,148006792,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",148253778,148254123,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",148258540,148258893,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",148592386,148592733,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",148760266,148761099,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",148766537,148767608,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",149310947,149311255,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",149575727,149577881,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",149803531,149804689,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",149812296,149814967,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",149822157,149824692,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",149832209,149833422,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",151571619,151572080,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",152916937,152917292,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",154281859,154282208,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",156273315,156273663,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",159241667,159242020,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",161386637,161386954,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",161416744,161418213,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",161424151,161425595,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",161431509,161432983,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",161438893,161440950,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",162019496,162019903,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",163598138,163598514,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",165154750,165154964,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",168025493,168025867,-1.53,-1.53,-1.54,0.01,0.863,1
"chr1",171864241,171864603,-1.53,-1.53,-1.54,0.01,0.863,1
