"Chr","Start","End","Conc","Conc_colon","Conc_liver","Fold","p-value","FDR"
"chr4",185654487,185655634,5.16,4.82,5.44,-0.62,0.636,1
"chr1",111038523,111039140,3.89,3.55,4.17,-0.62,0.636,1
"chr3",197686716,197687451,5.22,4.88,5.49,-0.61,0.636,1
"chr10",111767115,111768733,6.78,6.44,7.06,-0.62,0.636,1
"chr10",23991781,23992331,4.49,4.13,4.78,-0.65,0.636,1
"chrX",100645677,100646289,4.08,3.74,4.35,-0.61,0.636,1
"chr15",79030415,79030930,3.33,2.99,3.61,-0.61,0.636,1
"chr13",30880877,30881954,5.88,5.53,6.16,-0.64,0.636,1
"chr4",37827403,37828685,5.67,5.33,5.95,-0.61,0.636,1
"chr19",13944277,13945261,4.85,4.53,5.12,-0.59,0.636,1
"chr12",96972040,96972731,3.45,2.91,3.85,-0.95,0.636,1
"chr10",31871660,31872116,3.41,3.1,3.67,-0.57,0.636,1
"chr16",75798032,75798493,3.65,3.29,3.95,-0.66,0.636,1
"chr16",2732206,2732815,4.82,4.49,5.09,-0.6,0.636,1
"chr11",111999052,111999712,4.13,3.79,4.41,-0.62,0.636,1
"chr6",33755810,33757122,5.21,4.9,5.47,-0.57,0.636,1
"chr18",67602491,67603176,3.88,3.53,4.16,-0.63,0.636,1
"chr2",71174124,71176033,4.98,4.66,5.25,-0.59,0.636,1
"chr1",27894844,27895408,4.96,4.64,5.22,-0.58,0.636,1
"chr8",26315063,26315831,4.38,4.04,4.65,-0.61,0.636,1
"chr2",27944216,27944579,3.61,3.3,3.86,-0.56,0.636,1
"chr6",71085640,71086013,3.05,2.71,3.32,-0.61,0.636,1
"chr19",55770135,55771057,5.59,5.27,5.85,-0.58,0.636,1
"chr19",50832107,50833011,5.89,5.56,6.15,-0.59,0.636,1
"chr13",45048295,45048695,2.53,2.18,2.82,-0.64,0.636,1
"chr4",17449263,17449761,3.97,3.62,4.25,-0.63,0.636,1
"chr6",6724755,6725138,2.77,3.06,2.41,0.65,0.636,1
"chr9",127155184,127155537,2.59,2.25,2.87,-0.62,0.636,1
"chr1",226595278,226596152,5.36,5.04,5.62,-0.58,0.636,1
"chr12",102288311,102288969,4.62,4.27,4.89,-0.62,0.636,1
"chr16",84341707,84342119,4.06,3.74,4.32,-0.59,0.636,1
"chr11",85955350,85956678,5.97,5.64,6.24,-0.6,0.636,1
"chr2",10952439,10953361,6.15,5.8,6.43,-0.63,0.636,1
"chr10",61731597,61732476,3.56,3.2,3.84,-0.64,0.636,1
"chr12",8191236,8191730,3.56,3.2,3.84,-0.64,0.636,1
"chr6",43823918,43824273,2.93,2.6,3.2,-0.6,0.636,1
"chr7",92274977,92275795,2.93,2.6,3.2,-0.6,0.636,1
"chr8",119674668,119675210,2.93,2.6,3.2,-0.6,0.636,1
"chr5",58676277,58676628,2.96,2.61,3.24,-0.63,0.636,1
"chr17",48217258,48217672,3.43,3.11,3.69,-0.58,0.636,1
"chr10",34413500,34414055,3.97,3.63,4.25,-0.62,0.636,1
"chr15",59467073,59467502,3.31,2.96,3.59,-0.63,0.636,1
"chr6",21752106,21752741,2.65,2.27,2.95,-0.69,0.636,1
"chr9",75763760,75764682,4.02,3.68,4.3,-0.61,0.636,1
"chr1",222269364,222269925,3.55,3.02,3.94,-0.92,0.636,1
"chr11",94630497,94630872,3.16,2.82,3.43,-0.61,0.636,1
"chr11",76155554,76157111,6.18,5.84,6.46,-0.63,0.636,1
"chr5",75551996,75552487,3.76,3.39,4.05,-0.65,0.636,1
"chr1",60022363,60023018,4.43,4.1,4.7,-0.61,0.636,1
"chr6",170210116,170210787,4,3.68,4.26,-0.59,0.636,1
"chr10",87611049,87611539,2.92,2.56,3.21,-0.64,0.636,1
"chr1",7020403,7020690,3.11,2.74,3.4,-0.66,0.636,1
"chr3",38697261,38697644,3.38,3.03,3.66,-0.63,0.636,1
"chr14",37641038,37642015,5.39,5.05,5.67,-0.62,0.636,1
"chr2",118880811,118881849,4.52,4.18,4.8,-0.62,0.636,1
"chr17",42164187,42164671,3.35,3.06,3.59,-0.54,0.636,1
"chr2",20423081,20425525,6.58,6.25,6.85,-0.6,0.636,1
"chr12",127618438,127618782,3.02,2.64,3.31,-0.67,0.636,1
"chr14",49640430,49640826,3.02,2.64,3.31,-0.67,0.636,1
"chr20",36701800,36702267,2.38,2.66,2.04,0.62,0.636,1
"chr20",47662509,47663601,5.63,5.3,5.89,-0.59,0.636,1
"chr3",131080257,131081167,6.52,6.16,6.81,-0.65,0.636,1
"chr19",50393414,50394131,3.86,3.56,4.1,-0.54,0.636,1
"chr1",29839874,29840186,2.73,2.39,3.01,-0.62,0.636,1
"chr16",73990517,73991118,2.73,2.39,3.01,-0.62,0.636,1
"chr16",33898718,33902316,4.2,3.93,4.43,-0.51,0.636,1
"chr10",114718172,114719508,4.83,4.51,5.09,-0.58,0.636,1
"chr1",119821963,119822768,4.88,4.55,5.16,-0.61,0.636,1
"chr14",36843172,36843607,3.64,3.29,3.92,-0.64,0.636,1
"chr18",51654115,51654529,2.53,2.16,2.82,-0.66,0.636,1
"chr13",96742028,96742822,4.9,4.58,5.16,-0.58,0.636,1
"chr2",228755242,228755573,3.02,2.66,3.31,-0.65,0.636,1
"chr7",87229599,87230461,4.2,3.88,4.46,-0.58,0.636,1
"chr1",167035790,167036244,4.19,3.85,4.47,-0.62,0.636,1
"chr3",129721253,129722302,4.66,4.33,4.92,-0.59,0.636,1
"chr3",52312146,52313134,5.71,5.38,5.98,-0.6,0.636,1
"chr1",208267120,208267544,2.61,2.02,3.02,-1,0.636,1
"chr18",55891146,55891926,4.05,3.72,4.31,-0.59,0.636,1
"chr13",49169764,49170170,2.8,2.4,3.11,-0.7,0.636,1
"chr12",62996176,62997510,6.28,5.93,6.55,-0.62,0.636,1
"chr12",68752426,68753060,2.92,2.58,3.2,-0.62,0.636,1
"chr3",105246702,105247245,3.07,2.51,3.47,-0.95,0.636,1
"chr6",70627720,70628214,3.07,2.51,3.47,-0.95,0.636,1
"chr21",46707656,46708233,4.69,4.39,4.93,-0.53,0.636,1
"chr2",19547362,19548369,5.95,5.61,6.23,-0.62,0.636,1
"chr14",96828452,96830683,6.29,5.95,6.56,-0.61,0.636,1
"chr5",149267187,149267609,2.61,2.27,2.88,-0.61,0.637,1
"chr4",72049893,72050305,3.4,3.07,3.68,-0.61,0.637,1
"chr7",134922908,134923321,3.4,3.07,3.68,-0.61,0.637,1
"chr10",63422397,63423112,5.24,4.89,5.52,-0.64,0.637,1
"chr2",232062935,232063622,4.74,4.41,5,-0.6,0.637,1
"chr18",44809814,44810257,3.18,2.82,3.47,-0.64,0.637,1
"chrX",10601780,10603106,4.37,4.04,4.65,-0.61,0.637,1
"chr11",68227489,68228441,5.84,5.51,6.11,-0.6,0.637,1
"chr18",21436438,21437199,3,3.26,2.7,0.56,0.637,1
"chr17",66817979,66818675,4.38,4.06,4.65,-0.6,0.637,1
"chr2",65092392,65093032,4.42,4.11,4.68,-0.56,0.637,1
"chr11",128754550,128754959,3.58,3.22,3.86,-0.64,0.637,1
"chr6",8959102,8959589,3.08,2.75,3.35,-0.59,0.637,1
"chr6",147851462,147851786,2.42,2.07,2.7,-0.63,0.637,1
"chr6",12289589,12290828,5.45,5.11,5.72,-0.61,0.637,1
"chr11",78357578,78358094,3.7,3.37,3.97,-0.6,0.637,1
"chr14",71274873,71276854,6.75,6.42,7.02,-0.61,0.637,1
"chr22",38674717,38675185,2.89,3.16,2.55,0.61,0.637,1
"chr12",32552068,32553249,6.38,6.03,6.65,-0.62,0.637,1
"chr1",52869486,52870701,5.23,4.9,5.5,-0.61,0.637,1
"chr17",43567638,43568501,4.75,4.43,5.02,-0.59,0.637,1
"chr13",52025741,52027962,6.87,6.54,7.14,-0.6,0.637,1
"chr9",110517600,110517939,3.34,2.97,3.64,-0.67,0.637,1
"chr5",172710653,172711223,4.42,4.09,4.69,-0.61,0.637,1
"chr6",8064037,8064937,5.44,5.1,5.72,-0.62,0.637,1
"chr11",126173614,126174411,5.77,5.43,6.05,-0.62,0.637,1
"chr21",35027842,35028591,4.31,4,4.57,-0.57,0.637,1
"chr3",194489711,194490372,5.54,5.2,5.82,-0.63,0.637,1
"chr5",68788081,68789679,5.65,5.33,5.91,-0.58,0.637,1
"chr3",61546178,61547595,5.93,5.59,6.21,-0.62,0.637,1
"chr1",183029520,183029921,3.34,2.99,3.62,-0.62,0.637,1
"chr7",111201930,111202867,6,5.66,6.28,-0.62,0.637,1
"chr5",123932545,123932962,3.25,2.88,3.54,-0.66,0.637,1
"chr19",36705296,36706182,6.13,5.79,6.4,-0.61,0.637,1
"chr8",126568372,126569678,5.6,5.28,5.86,-0.57,0.637,1
"chr9",111695838,111697114,6.06,5.72,6.34,-0.62,0.637,1
"chr14",74207554,74208513,4.64,4.3,4.91,-0.61,0.637,1
"chr5",42994711,42995355,4.6,4.25,4.89,-0.65,0.637,1
"chr3",183353103,183354751,6.29,5.96,6.56,-0.6,0.637,1
"chr5",137667315,137667925,5.36,5.01,5.63,-0.62,0.637,1
"chr17",77982204,77982840,4.26,3.95,4.51,-0.56,0.637,1
"chr10",119104665,119104924,2.76,2.42,3.03,-0.61,0.637,1
"chr3",12882649,12883540,4.59,4.28,4.85,-0.57,0.637,1
"chr9",141044277,141045156,3.28,2.97,3.53,-0.56,0.637,1
"chr20",56592307,56593124,4.95,4.62,5.22,-0.6,0.637,1
"chr1",181111576,181112018,3.47,3.13,3.75,-0.63,0.637,1
"chr4",184328259,184328672,3.47,3.13,3.75,-0.63,0.637,1
"chr8",28558744,28559952,5.6,5.27,5.86,-0.59,0.637,1
"chr12",94070933,94071960,5.3,4.94,5.58,-0.64,0.637,1
"chr4",76597844,76599068,6,5.65,6.27,-0.62,0.637,1
"chr14",95785497,95786606,4.83,4.53,5.08,-0.55,0.637,1
"chr16",23681426,23681824,2.31,2.58,1.97,0.61,0.637,1
"chr9",112336568,112336960,2.31,2.58,1.97,0.61,0.637,1
"chrX",69417089,69417429,2.57,2.2,2.86,-0.65,0.637,1
"chr19",14200522,14202192,5.38,5.08,5.63,-0.54,0.637,1
"chr4",157268177,157269114,4.42,4.07,4.71,-0.63,0.637,1
"chr11",19924829,19925485,3.43,3.08,3.71,-0.63,0.637,1
"chr3",190303565,190304600,4.88,4.53,5.17,-0.63,0.637,1
"chr9",91002447,91004156,6.65,6.31,6.92,-0.61,0.637,1
"chr1",104067854,104069044,5.68,5.32,5.96,-0.64,0.637,1
"chr6",30130841,30131676,3.45,3.13,3.71,-0.59,0.637,1
"chr1",100714944,100715745,5.63,5.28,5.91,-0.63,0.637,1
"chr1",183250554,183251273,4.4,4.06,4.68,-0.62,0.637,1
"chr5",92943461,92944128,2.85,3.1,2.55,0.55,0.637,1
"chr9",90112391,90113349,5.36,5.03,5.63,-0.59,0.637,1
"chr12",113905088,113906373,4.73,4.42,4.98,-0.57,0.637,1
"chr9",21576233,21576955,4.7,4.33,4.99,-0.65,0.637,1
"chr6",36953707,36954483,5,4.68,5.26,-0.59,0.637,1
"chr3",87039631,87040730,4.48,4.15,4.74,-0.59,0.637,1
"chrX",16887775,16888921,5.34,5.03,5.61,-0.58,0.637,1
"chr16",10673689,10674816,5.86,5.52,6.14,-0.62,0.637,1
"chr8",102171133,102171894,4.67,4.35,4.93,-0.58,0.637,1
"chr2",175351391,175352287,5.94,5.6,6.21,-0.61,0.637,1
"chr1",243911973,243912357,3.55,3.2,3.83,-0.63,0.637,1
"chr5",96478147,96478755,3.16,2.8,3.45,-0.66,0.637,1
"chr20",25842098,25842536,3.56,3.24,3.82,-0.58,0.637,1
"chr1",6051677,6053414,6.76,6.42,7.04,-0.61,0.637,1
"chr1",16125603,16127633,5.73,5.4,5.99,-0.59,0.637,1
"chr4",139326602,139327292,2.58,2.85,2.24,0.61,0.637,1
"chr4",11545224,11545703,3.02,2.64,3.32,-0.67,0.637,1
"chr8",26123463,26123809,3.02,2.64,3.32,-0.67,0.637,1
"chr13",78384541,78384915,2.31,1.94,2.6,-0.65,0.637,1
"chr14",91526415,91527565,6.49,6.15,6.77,-0.62,0.637,1
"chr15",71155721,71156172,2.76,2.4,3.04,-0.64,0.637,1
"chr22",33056167,33056617,2.76,2.4,3.04,-0.64,0.637,1
"chr3",41460781,41461237,2.76,2.4,3.04,-0.64,0.637,1
"chr1",156307745,156308801,5.88,5.56,6.15,-0.59,0.637,1
"chr20",45417413,45418017,1.82,2.11,1.45,0.66,0.637,1
"chr7",76067184,76068211,3.07,2.72,3.36,-0.63,0.637,1
"chr20",23136729,23137182,3.21,2.89,3.47,-0.58,0.637,1
"chr1",84737155,84738290,3.86,3.53,4.13,-0.6,0.637,1
"chr20",58508995,58509490,3.71,3.39,3.97,-0.58,0.637,1
"chr2",38892971,38894049,5.24,4.9,5.51,-0.6,0.637,1
"chr19",1826162,1827025,3.47,3.18,3.71,-0.53,0.637,1
"chr1",27357880,27358498,4.07,3.76,4.33,-0.57,0.637,1
"chr19",55628890,55629545,4.83,4.5,5.09,-0.59,0.637,1
"chr12",121789918,121790643,5.16,4.83,5.43,-0.6,0.637,1
"chr13",49116899,49117337,2.74,2.35,3.05,-0.71,0.637,1
"chr9",97712740,97713624,3.64,3.33,3.9,-0.57,0.637,1
"chr19",48995979,48997038,6.29,5.97,6.55,-0.58,0.637,1
"chr16",30406353,30407316,5.3,4.99,5.56,-0.57,0.637,1
"chr15",85523569,85525325,6.56,6.23,6.82,-0.59,0.637,1
"chr10",62784502,62784878,3.06,2.68,3.37,-0.69,0.637,1
"chr18",8794420,8794747,2.48,2.78,2.11,0.67,0.637,1
"chr7",21806888,21807321,4.04,3.49,4.43,-0.94,0.637,1
"chr16",17398347,17398772,2.48,2.09,2.79,-0.7,0.637,1
"chr6",90142570,90143142,4.87,4.53,5.15,-0.62,0.637,1
"chr8",67036013,67036928,5.73,5.37,6.02,-0.65,0.637,1
"chr11",65259272,65259639,3.75,3.42,4.02,-0.6,0.637,1
"chr20",9819434,9820005,2.73,2.4,3,-0.59,0.637,1
"chr11",19262142,19263456,6.13,5.79,6.41,-0.62,0.637,1
"chr20",5107017,5108568,6.45,6.1,6.72,-0.62,0.638,1
"chr10",104209303,104211222,6.41,6.1,6.67,-0.57,0.638,1
"chr11",14379618,14380931,6.11,5.77,6.38,-0.62,0.638,1
"chr10",127136811,127137559,4.02,3.71,4.27,-0.57,0.638,1
"chr12",110151195,110152614,6.08,5.76,6.34,-0.58,0.638,1
"chr2",15317070,15317717,4.57,4.21,4.85,-0.64,0.638,1
"chr15",75660139,75661031,5.53,5.2,5.8,-0.6,0.638,1
"chr5",104245697,104247345,3.78,3.47,4.04,-0.57,0.638,1
"chr9",132499926,132500527,3.87,3.55,4.13,-0.58,0.638,1
"chr2",25599633,25600232,4.52,4.19,4.79,-0.59,0.638,1
"chr13",95923566,95924019,3.79,3.43,4.08,-0.64,0.638,1
"chr13",100740791,100741781,5.78,5.43,6.05,-0.62,0.638,1
"chr12",118454149,118454918,5,4.64,5.29,-0.65,0.638,1
"chr1",222817071,222818017,5.82,5.47,6.1,-0.63,0.638,1
"chr14",91294261,91294874,4.96,4.63,5.22,-0.6,0.638,1
"chr3",33155226,33156809,6.27,5.92,6.55,-0.62,0.638,1
"chr1",6500250,6501009,4.95,4.64,5.21,-0.57,0.638,1
"chr15",40630385,40633338,6.17,5.85,6.43,-0.58,0.638,1
"chr8",117800560,117801020,3.88,3.55,4.16,-0.61,0.638,1
"chr15",91072665,91073779,5.63,5.31,5.88,-0.57,0.638,1
"chr14",64970218,64972021,6.68,6.34,6.95,-0.61,0.638,1
"chr6",33239221,33240085,4.62,4.31,4.88,-0.57,0.638,1
"chr16",48656902,48657759,5.1,4.76,5.37,-0.6,0.638,1
"chr3",122388108,122388563,3.94,3.62,4.2,-0.58,0.638,1
"chr3",174581261,174581710,3.63,3.3,3.9,-0.61,0.638,1
"chr7",101929599,101931161,5.54,5.22,5.79,-0.57,0.638,1
"chr6",26103711,26105095,5.19,4.88,5.45,-0.57,0.638,1
"chr2",232242885,232243432,2.83,3.1,2.5,0.6,0.638,1
"chr2",96970837,96971689,4.66,4.34,4.92,-0.58,0.638,1
"chr17",79949491,79949924,3.49,3.19,3.74,-0.55,0.638,1
"chr4",79487083,79488324,4.77,4.44,5.05,-0.61,0.638,1
"chr8",143316325,143317315,5.56,5.25,5.82,-0.58,0.638,1
"chr5",1523581,1524591,5.49,5.18,5.75,-0.57,0.638,1
"chr4",169452487,169452884,3.47,3.15,3.73,-0.58,0.638,1
"chr3",49839976,49841263,5.83,5.52,6.09,-0.58,0.638,1
"chr12",49110097,49111129,5.41,5.08,5.67,-0.59,0.638,1
"chr4",122872142,122873173,3.76,3.42,4.03,-0.61,0.638,1
"chr7",13959601,13960274,4.81,4.45,5.09,-0.63,0.638,1
"chr7",25990508,25991345,5.31,4.98,5.58,-0.59,0.638,1
"chr11",67781844,67782454,4.36,4.04,4.62,-0.58,0.638,1
"chr5",178053259,178054440,5.46,5.15,5.72,-0.57,0.638,1
"chr12",104808209,104808787,4.24,3.9,4.51,-0.61,0.638,1
"chr2",230597793,230598851,2.87,2.51,3.16,-0.65,0.638,1
"chr14",65289893,65290367,3.78,3.46,4.04,-0.58,0.638,1
"chr6",41888490,41889409,5.2,4.88,5.46,-0.58,0.638,1
"chr8",28458439,28458829,3.68,3.33,3.96,-0.63,0.638,1
"chr20",25379677,25380183,3.36,3.02,3.63,-0.61,0.638,1
"chr5",169010427,169011356,5.68,5.34,5.96,-0.62,0.638,1
"chr10",115911244,115911598,2.86,2.53,3.14,-0.61,0.638,1
"chr22",28275951,28277150,2.86,2.53,3.14,-0.61,0.638,1
"chr5",130506247,130507276,6.14,5.79,6.43,-0.64,0.638,1
"chr11",35187596,35188618,4.69,4.37,4.95,-0.58,0.638,1
"chr19",54902657,54903712,3.89,3.6,4.14,-0.54,0.638,1
"chr12",26275235,26275806,3.53,3.19,3.81,-0.61,0.638,1
"chr1",35734016,35734857,5.1,4.78,5.37,-0.59,0.638,1
"chr7",30212740,30213027,2.79,2.44,3.06,-0.62,0.638,1
"chr7",105817030,105817520,3.69,3.35,3.97,-0.62,0.638,1
"chr11",34272598,34273075,3.77,3.42,4.04,-0.62,0.638,1
"chr3",10052602,10053183,5.44,5.11,5.72,-0.61,0.638,1
"chr2",227664041,227664894,4.83,4.53,5.07,-0.54,0.638,1
"chr2",100279245,100279460,1.99,1.6,2.3,-0.71,0.638,1
"chr6",108615739,108616698,5.38,5.05,5.65,-0.6,0.638,1
"chr11",14541476,14542330,5.59,5.26,5.85,-0.59,0.638,1
"chr2",128432502,128433406,3.93,3.63,4.18,-0.55,0.638,1
"chr3",153838616,153839656,5.74,5.4,6.01,-0.61,0.638,1
"chr13",21295988,21296473,3.36,2.99,3.65,-0.65,0.638,1
"chr2",53203454,53203909,3.21,2.85,3.49,-0.64,0.638,1
"chrX",23760666,23761744,5.32,4.98,5.59,-0.61,0.638,1
"chr7",39056249,39057110,3.66,3.34,3.92,-0.58,0.638,1
"chr4",10556287,10556718,3.49,3.14,3.78,-0.64,0.638,1
"chr1",33282700,33283974,6.01,5.69,6.27,-0.58,0.638,1
"chr2",102857192,102857720,4.06,3.73,4.32,-0.59,0.638,1
"chr9",140473074,140473683,4.8,4.49,5.04,-0.55,0.638,1
"chr6",155492187,155493108,4.46,3.92,4.85,-0.93,0.638,1
"chr5",141404402,141404956,4.3,3.96,4.58,-0.62,0.638,1
"chr8",23584078,23584749,3.2,2.88,3.46,-0.58,0.638,1
"chr16",5006132,5006489,3.43,3.09,3.71,-0.61,0.638,1
"chr13",114427754,114428383,3.68,3.34,3.96,-0.62,0.638,1
"chr14",23790001,23791158,6.29,5.96,6.56,-0.6,0.638,1
"chr7",61054865,61055951,2.1,2.39,1.75,0.64,0.638,1
"chr1",97432067,97433128,3.58,3.28,3.83,-0.55,0.638,1
"chr13",76123282,76124728,6.46,6.11,6.74,-0.62,0.638,1
"chr7",56893768,56894439,2,2.31,1.61,0.7,0.638,1
"chr8",19029200,19029601,2.82,2.44,3.12,-0.68,0.638,1
"chrX",99986338,99987331,4.16,3.82,4.44,-0.62,0.638,1
"chr1",207672757,207673247,3.1,2.78,3.36,-0.58,0.638,1
"chr19",41955170,41955664,3.1,2.78,3.36,-0.58,0.638,1
"chr13",111560536,111561366,4.97,4.6,5.26,-0.66,0.638,1
"chr1",41327686,41328581,5.39,5.07,5.64,-0.57,0.638,1
"chr1",26221921,26222230,3.23,2.91,3.5,-0.59,0.638,1
"chr14",55118932,55119600,3.23,2.91,3.5,-0.59,0.638,1
"chr1",17764088,17764465,3.56,3.27,3.8,-0.54,0.638,1
"chr16",23159998,23161160,6.17,5.84,6.44,-0.6,0.638,1
"chr4",84772335,84773513,4.45,4.14,4.71,-0.57,0.638,1
"chr17",73760559,73761541,5.12,4.82,5.36,-0.54,0.638,1
"chr12",12869798,12870674,4.99,4.67,5.25,-0.58,0.638,1
"chr12",2994452,2994807,2.55,2.82,2.22,0.6,0.638,1
"chr22",19710961,19711852,3.97,3.68,4.22,-0.54,0.638,1
"chr2",47136832,47137708,4.38,4.06,4.64,-0.58,0.638,1
"chr10",88021591,88022249,3.61,3.28,3.89,-0.61,0.638,1
"chr10",126889684,126890093,3.7,3.38,3.96,-0.58,0.638,1
"chr3",5027526,5029015,6.04,5.7,6.33,-0.63,0.638,1
"chr13",111596317,111597071,4.04,3.7,4.31,-0.61,0.638,1
"chr7",2883710,2884497,6.08,5.73,6.36,-0.63,0.639,1
"chr7",140178364,140179624,6.25,5.92,6.52,-0.6,0.639,1
"chr8",99395269,99395727,3.26,2.93,3.52,-0.59,0.639,1
"chr3",122785612,122787559,6.09,5.76,6.36,-0.6,0.639,1
"chr6",17505193,17506177,3.51,3.16,3.79,-0.63,0.639,1
"chr1",7267993,7268368,3.08,2.77,3.34,-0.57,0.639,1
"chr9",133454400,133455589,4.88,4.58,5.13,-0.54,0.639,1
"chr7",84330890,84331590,4.06,3.71,4.35,-0.64,0.639,1
"chr11",124669478,124670861,6.14,5.8,6.42,-0.62,0.639,1
"chr8",27219363,27220012,4.51,4.17,4.78,-0.61,0.639,1
"chr12",26278822,26279695,5.24,4.92,5.5,-0.58,0.639,1
"chr8",62637285,62637728,3.26,2.89,3.55,-0.66,0.639,1
"chr1",165562119,165562425,2.88,2.56,3.14,-0.57,0.639,1
"chr8",121464924,121465397,2.88,2.56,3.14,-0.57,0.639,1
"chr7",113061701,113062404,4.23,3.87,4.52,-0.65,0.639,1
"chr12",51984394,51985488,4.76,4.45,5.01,-0.56,0.639,1
"chr2",202897645,202899231,6.29,5.96,6.56,-0.6,0.639,1
"chr12",26306249,26306913,3.65,3.33,3.92,-0.59,0.639,1
"chr3",12447175,12447691,3.65,3.33,3.92,-0.59,0.639,1
"chr8",66976438,66977633,4.14,3.81,4.41,-0.6,0.639,1
"chr7",36709590,36710839,4.21,3.91,4.46,-0.56,0.639,1
"chr8",27850120,27851213,4.12,3.82,4.37,-0.55,0.639,1
"chr19",54663108,54664185,5.97,5.64,6.24,-0.6,0.639,1
"chr10",102488636,102489823,5.75,5.43,6.02,-0.59,0.639,1
"chr13",24462828,24464527,5.93,5.59,6.2,-0.61,0.639,1
"chr1",113999549,114000047,3.54,3.19,3.81,-0.62,0.639,1
"chr18",13558088,13558498,2.53,2.14,2.83,-0.69,0.639,1
"chr8",59323658,59324323,5.16,4.81,5.44,-0.64,0.639,1
"chr1",85190087,85190749,2.62,2.91,2.27,0.64,0.639,1
"chr15",92496689,92497507,3.03,3.29,2.71,0.58,0.639,1
"chr19",8115265,8115970,3.86,3.58,4.1,-0.52,0.639,1
"chr6",43635131,43636447,4.72,4.41,4.97,-0.56,0.639,1
"chr2",157256299,157257906,6.03,5.69,6.31,-0.62,0.639,1
"chr14",61855143,61856299,4.03,3.71,4.29,-0.59,0.639,1
"chr8",107790607,107791574,3.98,3.64,4.26,-0.62,0.639,1
"chr13",46626510,46627217,4.9,4.55,5.17,-0.62,0.639,1
"chr20",17823733,17824716,5.7,5.37,5.97,-0.6,0.639,1
"chr8",68255167,68256446,6.61,6.27,6.89,-0.62,0.639,1
"chr15",100889779,100890645,5.36,5.03,5.63,-0.61,0.639,1
"chr3",5467767,5468446,4.63,4.28,4.91,-0.62,0.639,1
"chr6",41814374,41814923,3.38,3.06,3.64,-0.59,0.639,1
"chr1",46394917,46395330,2.98,2.63,3.26,-0.63,0.639,1
"chr1",153700074,153700614,5.44,5.08,5.72,-0.65,0.639,1
"chr6",34164084,34164441,2.79,2.48,3.04,-0.56,0.639,1
"chr1",11119846,11120486,5.52,5.19,5.79,-0.6,0.639,1
"chrX",149743703,149744240,3.48,3.11,3.77,-0.65,0.639,1
"chr10",104677181,104678531,6.86,6.53,7.13,-0.59,0.639,1
"chr2",109948929,109950141,4.14,3.82,4.41,-0.6,0.639,1
"chr16",58767504,58768494,5.64,5.3,5.91,-0.62,0.639,1
"chr9",21974604,21975455,4.63,4.31,4.89,-0.58,0.639,1
"chr6",30028778,30029470,4.19,3.86,4.46,-0.6,0.639,1
"chr7",3340380,3341030,4.63,4.31,4.89,-0.59,0.639,1
"chr9",37592376,37592876,3.77,3.42,4.05,-0.62,0.639,1
"chr9",21413722,21414070,2.34,1.97,2.64,-0.67,0.639,1
"chr4",141107835,141108302,3.12,2.8,3.39,-0.59,0.639,1
"chr6",26659573,26660470,5.02,4.7,5.29,-0.6,0.639,1
"chr13",27912683,27913951,4.49,4.18,4.75,-0.57,0.639,1
"chr12",45629447,45629847,3.87,3.53,4.14,-0.61,0.639,1
"chr2",27545309,27546242,4.74,4.43,4.99,-0.56,0.639,1
"chr10",62371086,62371572,3.64,3.28,3.93,-0.65,0.639,1
"chr10",73078771,73079656,4.98,4.68,5.23,-0.55,0.639,1
"chr6",22828429,22829062,4.61,4.28,4.87,-0.59,0.639,1
"chr9",79087764,79088868,3.69,3.39,3.95,-0.56,0.639,1
"chr11",73471167,73472708,6.25,5.91,6.53,-0.61,0.639,1
"chr5",106892758,106893373,3.67,3.33,3.95,-0.63,0.639,1
"chr15",68664767,68665224,3.21,2.86,3.49,-0.63,0.639,1
"chr1",156096016,156097192,5.18,4.86,5.45,-0.59,0.639,1
"chr11",118938176,118938705,3.82,3.49,4.09,-0.6,0.639,1
"chr15",83611433,83612141,3.82,3.49,4.09,-0.6,0.639,1
"chr12",102333537,102333976,3.3,2.68,3.73,-1.06,0.639,1
"chr11",133814936,133815781,4.54,4.18,4.83,-0.66,0.639,1
"chr6",31782173,31782688,3.91,3.58,4.18,-0.6,0.639,1
"chr18",9101915,9102963,5.66,5.32,5.93,-0.6,0.639,1
"chr4",141516129,141516595,4.09,3.74,4.37,-0.63,0.639,1
"chr12",120314708,120315554,5.44,5.12,5.71,-0.59,0.639,1
"chr7",105704906,105706003,5.29,4.95,5.57,-0.61,0.639,1
"chr5",149379722,149381601,6.25,5.91,6.52,-0.62,0.639,1
"chr21",40890181,40890568,3.07,2.75,3.34,-0.58,0.639,1
"chr5",68630608,68630950,3.33,2.98,3.61,-0.63,0.639,1
"chr7",32243906,32244418,4.06,3.46,4.48,-1.02,0.639,1
"chr1",149982031,149982959,4.63,4.33,4.89,-0.56,0.64,1
"chr5",132298246,132299794,5.66,5.32,5.92,-0.6,0.64,1
"chr9",123883758,123884291,4.69,4.36,4.96,-0.6,0.64,1
"chr8",141100317,141102063,5.3,4.98,5.55,-0.57,0.64,1
"chr11",119518141,119519234,2.42,2.07,2.7,-0.63,0.64,1
"chr7",95315482,95315802,3.08,2.51,3.49,-0.98,0.64,1
"chr12",2113030,2114028,4.97,4.66,5.23,-0.57,0.64,1
"chr3",152552259,152553106,5.11,4.79,5.37,-0.58,0.64,1
